Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3727998693339002
75% Corpus,2,0.01,0.31,0.3727998693339002
75% Corpus,2,0.01,0.61,0.3761224916294268
75% Corpus,2,0.01,0.9099999999999999,0.3727998693339002
75% Corpus,2,0.01,symmetric,0.3727998693339002
75% Corpus,2,0.31,0.01,0.3752113151044565
75% Corpus,2,0.31,0.31,0.3727998693339002
75% Corpus,2,0.31,0.61,0.37612249162942674
75% Corpus,2,0.31,0.9099999999999999,0.3727998693339002
75% Corpus,2,0.31,symmetric,0.3727998693339002
75% Corpus,2,0.61,0.01,0.39413805193779405
75% Corpus,2,0.61,0.31,0.3727998693339002
75% Corpus,2,0.61,0.61,0.3727998693339002
75% Corpus,2,0.61,0.9099999999999999,0.3727998693339002
75% Corpus,2,0.61,symmetric,0.3727998693339002
75% Corpus,2,0.9099999999999999,0.01,0.38077918945587674
75% Corpus,2,0.9099999999999999,0.31,0.3727998693339002
75% Corpus,2,0.9099999999999999,0.61,0.3727998693339002
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3727998693339002
75% Corpus,2,0.9099999999999999,symmetric,0.3727998693339002
75% Corpus,2,symmetric,0.01,0.37396005900669393
75% Corpus,2,symmetric,0.31,0.3727998693339002
75% Corpus,2,symmetric,0.61,0.3727998693339002
75% Corpus,2,symmetric,0.9099999999999999,0.3727998693339002
75% Corpus,2,symmetric,symmetric,0.3727998693339002
75% Corpus,2,asymmetric,0.01,0.37396005900669393
75% Corpus,2,asymmetric,0.31,0.3727998693339002
75% Corpus,2,asymmetric,0.61,0.3727998693339002
75% Corpus,2,asymmetric,0.9099999999999999,0.3727998693339002
75% Corpus,2,asymmetric,symmetric,0.3727998693339002
75% Corpus,3,0.01,0.01,0.4589223533459352
75% Corpus,3,0.01,0.31,0.4546641739689295
75% Corpus,3,0.01,0.61,0.4550067624416067
75% Corpus,3,0.01,0.9099999999999999,0.4550067624416066
75% Corpus,3,0.01,symmetric,0.4550067624416067
75% Corpus,3,0.31,0.01,0.4544288370382388
75% Corpus,3,0.31,0.31,0.4620639942981932
75% Corpus,3,0.31,0.61,0.4467853774330379
75% Corpus,3,0.31,0.9099999999999999,0.4467853774330379
75% Corpus,3,0.31,symmetric,0.45675840206149454
75% Corpus,3,0.61,0.01,0.4549892305587376
75% Corpus,3,0.61,0.31,0.45513587001623285
75% Corpus,3,0.61,0.61,0.45513587001623285
75% Corpus,3,0.61,0.9099999999999999,0.45513587001623285
75% Corpus,3,0.61,symmetric,0.45513587001623285
