,id,url,details_cases,downloaded
0,/utiac/rp-00141-2018,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76923/RP001412018.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '23 Sep 2022', 'Promulgation date:': ' 4 Jan 2023', 'Publication date:': '19 Jan 2023', 'Last updated on:': '19 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
1,/utiac/rp-00137-2016-aee085f3-ef73-4d93-9a06-578774b130c4,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76922/RP001372016.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '13 Dec 2022', 'Promulgation date:': ' 4 Jan 2023', 'Publication date:': '19 Jan 2023', 'Last updated on:': '19 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
2,/utiac/pa-10509-2019,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76921/PA105092019.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 5 Oct 2022', 'Promulgation date:': ' 4 Jan 2023', 'Publication date:': '19 Jan 2023', 'Last updated on:': '19 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
3,/utiac/pa-01981-2020,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76920/PA019812020.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 5 Oct 2022', 'Promulgation date:': ' 4 Jan 2023', 'Publication date:': '19 Jan 2023', 'Last updated on:': '19 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
4,/utiac/pa-00233-2020,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76919/PA002332020.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '12 Dec 2022', 'Promulgation date:': ' 4 Jan 2023', 'Publication date:': '19 Jan 2023', 'Last updated on:': '19 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
5,/utiac/hu-10927-2017,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76918/HU109272017.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '18 Nov 2022', 'Promulgation date:': ' 4 Jan 2023', 'Publication date:': '19 Jan 2023', 'Last updated on:': '19 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
6,/utiac/hu-09597-2019-ors-a79a6d1e-a0d8-45fb-bad8-b561bc96248a,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76917/HU095972019___Others.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 7 Oct 2022', 'Promulgation date:': ' 4 Jan 2023', 'Publication date:': '19 Jan 2023', 'Last updated on:': '19 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
7,/utiac/ea-13871-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76916/EA138712021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '25 Nov 2022', 'Promulgation date:': ' 4 Jan 2023', 'Publication date:': '19 Jan 2023', 'Last updated on:': '19 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
8,/utiac/ea-12192-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76915/EA121922021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 7 Nov 2022', 'Promulgation date:': ' 4 Jan 2023', 'Publication date:': '19 Jan 2023', 'Last updated on:': '19 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
9,/utiac/ea-01125-2022,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76914/EA011252022.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '21 Nov 2022', 'Promulgation date:': ' 4 Jan 2023', 'Publication date:': '19 Jan 2023', 'Last updated on:': '19 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
10,/utiac/dc-00070-2018,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76913/DC000702018.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '23 Sep 2022', 'Promulgation date:': ' 4 Jan 2023', 'Publication date:': '19 Jan 2023', 'Last updated on:': '19 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
11,/utiac/lp-00272-2020,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76912/LP002722020.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '19 Jul 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
12,/utiac/lp-00096-2020,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76911/LP000962020.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '22 Sep 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
13,/utiac/ia-13013-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76910/IA130132021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 2 Dec 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
14,/utiac/ia-10672-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76909/IA106722021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 2 Dec 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
15,/utiac/ia-07271-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76908/IA072712021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 2 Nov 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
16,/utiac/ia-02380-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76907/IA023802021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '21 Nov 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
17,/utiac/ia-00131-2020,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76906/IA001312020.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '21 Jul 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
18,/utiac/hu-18467-2019,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76905/HU184672019.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 8 Jun 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
19,/utiac/hu-04308-2019-f0af0312-807f-4c0a-95cc-463cf1558f60,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76904/HU043082019.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '27 Sep 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
20,/utiac/ea-13870-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76903/EA138702021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '22 Sep 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
21,/utiac/ea-13314-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76902/EA133142021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '27 Oct 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
22,/utiac/ea-12732-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76901/EA127322021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 6 Oct 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
23,/utiac/ea-11753-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76900/EA117532021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '24 Oct 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
24,/utiac/ea-08592-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76899/EA085922021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '17 Mar 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
25,/utiac/ea-07588-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76898/EA075882021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 1 Dec 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
26,/utiac/ea010972021-ea010992021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76897/EA010972021___EA010992021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 1 Dec 2022', 'Promulgation date:': ' 3 Jan 2023', 'Publication date:': '18 Jan 2023', 'Last updated on:': '18 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
27,/utiac/pa-04296-2020,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76896/PA042962020.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '20 Oct 2022', 'Promulgation date:': '30 Dec 2022', 'Publication date:': '17 Jan 2023', 'Last updated on:': '17 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
28,/utiac/ia-00024-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76895/IA000242021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '31 Aug 2021', 'Promulgation date:': '30 Dec 2022', 'Publication date:': '17 Jan 2023', 'Last updated on:': '17 Jan 2023', 'Country:': '', 'Judges:': ''}",OK
